#
#   DShield.org Recommended Block List 
#    (c) $year DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: https://feeds.dshield.org/block.txt
#     PGP Sign.: https://feeds.dshield.org/block.txt.asc
#
#   comments: systems@isc.sans.edu
#    updated: 2024-11-12T02:00:24.840943
#   
#    This list summarizes the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
185.242.226.0	185.242.226.255	24	1095	AS49870-BV	NL	abuse@westcall.ru
202.110.80.0	202.110.80.255	24	1001	CHINA169-BACKBONE CHINA UNICOM China169 Backbone	CN	hqs-ipabuse@chinaunicom.cn
45.84.89.0	45.84.89.255	24	962	HUICAST_TELECOM	HK	ripe@newtonad.ro
223.113.190.0	223.113.190.255	24	929	CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.	CN	ipas@cnnic.cn
111.180.196.0	111.180.196.255	24	905	CHINANET-BACKBONE No.31,Jin-rong Street	CN	anti-spam@ns.chinanet.cn.net
103.102.230.0	103.102.230.255	24	884	SKOALI	FR	>>UNKNOWN<<
95.214.27.0	95.214.27.255	24	875	-	-	-
123.6.78.0	123.6.78.255	24	856	CHINA169-BACKBONE CHINA UNICOM China169 Backbone	CN	hqs-ipabuse@chinaunicom.cn
193.163.125.0	193.163.125.255	24	852	INTERNET-MEASUREMENT	GB	>>UNKNOWN<<
206.168.34.0	206.168.34.255	24	837	-	-	-
198.235.24.0	198.235.24.255	24	823	GOOGLE-CLOUD-PLATFORM	US	None
205.210.31.0	205.210.31.255	24	803	GOOGLE-CLOUD-PLATFORM	US	None
167.94.138.0	167.94.138.255	24	798	CENSYS-ARIN-01	US	None
154.213.184.0	154.213.184.255	24	773	MULTA-ASN1	US	abuse@multacom.com
119.188.247.0	119.188.247.255	24	753	CHINA169-BACKBONE CHINA UNICOM China169 Backbone	CN	hqs-ipabuse@chinaunicom.cn
42.225.21.0	42.225.21.255	24	751	CHINA169-BACKBONE CHINA UNICOM China169 Backbone	CN	hqs-ipabuse@chinaunicom.cn
141.98.11.0	141.98.11.255	24	743	HOSTBALTIC	LT	>>UNKNOWN<<
178.215.238.0	178.215.238.255	24	738	-	-	-
147.185.132.0	147.185.132.255	24	731	GOOGLE-CLOUD-PLATFORM	US	None
111.7.188.0	111.7.188.255	24	718	CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.	CN	ipas@cnnic.cn
